,product_id,seller_id,country,category,gender,material,title,image_1,image_2,descriptions,price,product_code,color,size,weight,dates,available
0,27,1,Ghana,Shoes,Female,Solid,Masai sandals,IMG_2263.jpg,IMG_2261.jpg,Step into the world of African heritage with Masai Shoes. These unique footwear pieces not only showcase the rich cultural heritage of Africa but also provide unparalleled comfort.,170.0,JXGS0T,"Yellow,brown",38,0.5,2023-09-23,No
1,28,1,Ghana,Shoes,Female,Rubber,Masai sandals,IMG_2276.jpg,IMG_2272.jpg,Step into the world of African heritage with Masai Shoes. These unique footwear pieces not only showcase the rich cultural heritage of Africa but also provide unparalleled comfort.,170.0,EN1YG8,"Brown,orange",40,0.8,2023-09-23,No
2,29,1,Ghana,Shoes,Female,Rubber,Masai sandals,IMG_2281.jpg,IMG_2281.jpg,Step into the world of African heritage with Masai Shoes. These unique footwear pieces not only showcase the rich cultural heritage of Africa but also provide unparalleled comfort.,170.0,7V2IW6,"Brown,dark-blue",40,0.8,2023-09-23,No
3,30,1,Ghana,Shoes,Female,Rubber,Masai sandals,IMG_2293 (1).jpg,IMG_2296.jpg,Step into the world of African heritage with Masai Shoes. These unique footwear pieces not only showcase the rich cultural heritage of Africa but also provide unparalleled comfort.,170.0,P15NSU,"Yellow,brown",40,1,2023-09-23,No
4,31,1,Ghana,Shoes,Female,Rubber,Beaded Masai sandals,IMG_2302.jpg,IMG_2304.jpg,"Crafted with precision and attention to detail, Masai Shoes are a perfect blend of style and functionality. Each pair is meticulously designed to ensure maximum comfort, allowing you to effortlessly go about your day.",170.0,AUNY4S,"Brown,cream-white",38,1,2023-09-23,No
5,33,1,Ghana,Shoes,Female,Rubber,Beaded Masai sandals,IMG_2308 (1).jpg,IMG_2311.jpg,"Crafted with precision and attention to detail, Masai Shoes are a perfect blend of style and functionality. Each pair is meticulously designed to ensure maximum comfort, allowing you to effortlessly go about your day.",170.0,KX4FAV,Multi-color,"39,40",1,2023-09-23,No
6,34,1,Ghana,Accessories,Unisex,Solid,Beaded African Map Necklace,IMG_2327.jpg,IMG_2333.jpg,"This Beaded African Map Necklace is a stunning piece of jewelry that features intricate beadwork in the shape of the African continent. Its vibrant colors and detailed craftsmanship make it a unique and eye-catching accessory, perfect for those who want to celebrate African culture and heritage.",100.0,1MLV8N,Black,Medium,0.3,2023-09-23,No
7,35,1,Ghana,Accessories,Unisex,Solid,Gye Nyame beaded Necklace,IMG_2342.jpg,IMG_2342.jpg,"The Gye Nyame  Ashanti Necklace is a stunning jewelry piece that pays homage to Ashanti culture and symbolism. Its centerpiece, Gye Nyame symbol, represents the supremacy of God and the belief in divine protection. This necklace is not only a striking accessory but also a meaningful expression of faith and heritage, making it a perfect addition to any jewelry collection.",50.0,VDOWAS,"Black,Brown",Medium,0.3,2023-09-23,No
8,36,1,Ghana,Accessories,Female,Solid,Ankh Necklace,IMG_2319.jpg,IMG_2317.jpg,"This African Stone Necklace is a unique and culturally rich accessory that showcases the natural beauty of African stones and beads. The necklace features a combination of beads, each meticulously handcrafted to create an exquisite piece of jewelry.",100.0,90I8QS,"Black,Brown",Medium,1.5,2023-09-23,No
9,37,1,Ghana,Bags,Female,Cotton,African Masai bag,IMG_2358.jpg,IMG_2357.jpg,"The Maasai Bag is a stunning and culturally rich accessory handcrafted by the Maasai artisans of East Africa. It features intricate beadwork and vibrant colors, a hallmark of Maasai craftsmanship. These bags are not only a fashion statement but also a celebration of Maasai culture and heritage. ",300.0,S0MW5K,Black,Medium,1.5,2023-09-23,Yes
10,38,1,Ghana,Bags,Female,Cotton,African Masai bags,IMG_2366.jpg,IMG_2367.jpg,"The Maasai Bag is a stunning and culturally rich accessory handcrafted by the Maasai artisans of East Africa. It features intricate beadwork and vibrant colors, a hallmark of Maasai craftsmanship. These bags are not only a fashion statement but also a celebration of Maasai culture and heritage. ",300.0,0RCUD1,Baige,Medium,2,2023-09-23,Yes
11,39,1,Ghana,Bags,Unisex,Leather,African Back-Pack,IMG_2399.jpg,IMG_2394.jpg,"An African print backpack is a vibrant and culturally inspired accessory featuring traditional African textile patterns and designs. Typically made from durable materials, it combines style with functionality, making it perfect for both everyday use and as a unique fashion statement.",200.0,1PYFIE,Black.white patches,Medium,1,2023-09-24,Yes
12,40,1,Ghana,Bags,Unisex,Leather,African Back-Pack,IMG_2384.jpg,IMG_2384.jpg,"An African print backpack is a vibrant and culturally-inspired accessory featuring traditional African textile patterns and designs. Typically made from durable materials, it combines style with functionality, making it perfect for both everyday use and as a unique fashion statement.",250.0,AOM28W,Black.white patches,Medium,1,2023-09-24,Yes
13,41,1,Ghana,Bags,Unisex,Cotton,African Print Back-Pack,IMG_2370.jpg,IMG_2377.jpg,"An African print backpack is a vibrant and culturally inspired accessory featuring traditional African textile patterns and designs. Typically made from durable materials, it combines style with functionality, making it perfect for both everyday use and as a unique fashion statement.",200.0,63K1JE,Multi-color,Medium,1,2023-09-24,Yes
14,42,1,Ghana,Bags,Unisex,Cotton,African Hassle Bag,IMG_2414.jpg,IMG_2405.jpg,"An African hassle bag is a stylish and versatile accessory, typically crafted from traditional African textiles or materials. It features a convenient drawstring closure and ample space, making it ideal for carrying essentials while showcasing African culture through its distinctive design.",150.0,QU7E1T,Orange,Medium,1,2023-09-24,Yes
15,43,1,Ghana,Bags,Female,Cotton,African Hassle Bag,IMG_2417.jpg,IMG_2427.jpg,"An African hassle bag is a stylish and versatile accessory, typically crafted from traditional African textiles or materials. It features a convenient drawstring closure and ample space, making it ideal for carrying essentials while showcasing African culture through its distinctive design.",150.0,A98WQ3,Baige,Small,1,2023-09-24,Yes
16,44,1,Ghana,Bags,Unisex,Cotton,African Print Hassle bag,IMG_2437.jpg,IMG_2439.jpg,"An African hassle bag is a stylish and versatile accessory, typically crafted from traditional African textiles or materials. It features a convenient drawstring closure and ample space, making it ideal for carrying essentials while showcasing African culture through its distinctive design.",130.0,2YQJPG,"black,multi-colored",Small,1,2023-09-24,Yes
17,45,1,Ghana,Bags,Female,Cotton,African Hassle Bag,IMG_2442.jpg,IMG_2447.jpg,"An African hassle bag is a stylish and versatile accessory, typically crafted from traditional African textiles or materials. It features a convenient drawstring closure and ample space, making it ideal for carrying essentials while showcasing African culture through its distinctive design.",200.0,7RC2FJ,Brown,Medium,1,2023-09-24,Yes
18,49,1,Ghana,Bags,Female,Cotton,African Print handbag,IMG_2608.jpg,IMG_2608.jpg,"An African print bag is a vibrant and eye-catching accessory featuring traditional African textile prints and patterns. These bags are both fashionable and functional, offering a unique blend of cultural expression and practicality for carrying your essentials.",150.0,UVWDHQ,Multi-color,Medium,2,2023-09-24,Yes
19,50,1,Ghana,Bags,Female,Leather,African Print handbag,IMG_2612.jpg,IMG_2612.jpg,"An African print bag is a vibrant and eye-catching accessory featuring traditional African textile prints and patterns. These bags are both fashionable and functional, offering a unique blend of cultural expression and practicality for carrying your essentials.",150.0,FNGQLA,"Multi-color,Red",Medium,2,2023-09-24,Yes
20,51,1,Ghana,Bags,Unisex,Cotton,African tote bag,IMG_2614.jpg,IMG_2614.jpg,"An African print tote bag is a stylish and spacious accessory adorned with traditional African textile prints, often featuring bold and colorful patterns. These tote bags are not only fashion-forward but also practical for carrying a variety of items, making them a popular choice for everyday use and a distinctive expression of African heritage.",130.0,4YPQ5N,Multi-color,Medium,1,2023-09-24,Yes
21,52,1,Ghana,Bags,Female,Cotton,African Print handbag,IMG_2615.jpg,IMG_2615.jpg,"An African print bag is a vibrant and eye-catching accessory featuring traditional African textile prints and patterns. These bags are both fashionable and functional, offering a unique blend of cultural expression and practicality for carrying your essentials.",150.0,PGJCY8,Multi-color,Medium,2,2023-09-24,Yes
22,53,1,Ghana,Bags,Female,Natural textile,Woven Tassel Bag,IMG_2618.jpg,IMG_2621.jpg,"An African woven tassel bag is an exquisite handcrafted accessory, showcasing intricate weaving techniques and often adorned with decorative tassels. These bags are known for their unique blend of artistry and functionality, providing a culturally rich and stylish way to carry your belongings.




",250.0,29B7ER,Multi-color,Medium,3,2023-09-24,Yes
23,55,1,Ghana,Accessories,Female,Solid,African Map Earring,WhatsApp Image 2023-09-24 at 14.41.14 (1).jpeg,WhatsApp Image 2023-09-24 at 14.41.14.jpeg,dtrstdg,60.0,IPNH2A,Brown,Medium,.3,2023-09-24,No
24,56,1,Ghana,Men Shirts,Unisex,Cotton,African Shirt,WhatsApp Image 2023-09-24 at 14.43.04.jpeg,WhatsApp Image 2023-09-24 at 14.43.18.jpeg,The African shirt is a vibrant and culturally significant garment often characterized by its colorful and intricate patterns. It is typically made from high-quality African textiles and serves as a symbol of tradition and identity in various African cultures.,100.0,9MEXPQ,White,Large,1,2023-09-24,Yes
25,57,1,Ghana,Accessories,Female,Solid,African map Earring ,IMG_2635.jpg,IMG_2637.jpg,"These African map earrings are a unique and stylish accessory, crafted with precision to depict the intricate contours of the African continent. Made from high-quality materials, they are both lightweight and durable, ensuring comfort and longevity. ",60.0,NAV1LZ,Black,Medium,0.5,2023-09-26,No
26,58,1,Ghana,Accessories,Female,Solid,African wooden Earring ,IMG_2638.jpg,IMG_2640.jpg,"These African wooden earrings are a unique and stylish accessory, crafted with precision to depict the intricate contours of the African continent. Made from high-quality materials, they are both lightweight and durable, ensuring comfort and longevity. ",60.0,KTWSVG,Brown,"Medium,Large",0.5,2023-09-26,No
