,product_id,country,category,gender,material,title,descriptions,price,color,size,weight,combined_text
0,37,Ghana,Bags,Female,Cotton,African Masai bag,"The Maasai Bag is a stunning and culturally rich accessory handcrafted by the Maasai artisans of East Africa. It features intricate beadwork and vibrant colors, a hallmark of Maasai craftsmanship. These bags are not only a fashion statement but also a celebration of Maasai culture and heritage. ",300.0,Black,Medium,1.5,"Ghana Bags Female Cotton African Masai bag The Maasai Bag is a stunning and culturally rich accessory handcrafted by the Maasai artisans of East Africa. It features intricate beadwork and vibrant colors, a hallmark of Maasai craftsmanship. These bags are not only a fashion statement but also a celebration of Maasai culture and heritage.  300.0 Black Medium 1.5"
1,38,Ghana,Bags,Female,Cotton,African Masai bags,"The Maasai Bag is a stunning and culturally rich accessory handcrafted by the Maasai artisans of East Africa. It features intricate beadwork and vibrant colors, a hallmark of Maasai craftsmanship. These bags are not only a fashion statement but also a celebration of Maasai culture and heritage. ",300.0,Baige,Medium,2,"Ghana Bags Female Cotton African Masai bags The Maasai Bag is a stunning and culturally rich accessory handcrafted by the Maasai artisans of East Africa. It features intricate beadwork and vibrant colors, a hallmark of Maasai craftsmanship. These bags are not only a fashion statement but also a celebration of Maasai culture and heritage.  300.0 Baige Medium 2"
2,39,Ghana,Bags,Unisex,Leather,African Back-Pack,"An African print backpack is a vibrant and culturally inspired accessory featuring traditional African textile patterns and designs. Typically made from durable materials, it combines style with functionality, making it perfect for both everyday use and as a unique fashion statement.",200.0,Black.white patches,Medium,1,"Ghana Bags Unisex Leather African Back-Pack An African print backpack is a vibrant and culturally inspired accessory featuring traditional African textile patterns and designs. Typically made from durable materials, it combines style with functionality, making it perfect for both everyday use and as a unique fashion statement. 200.0 Black.white patches Medium 1"
3,40,Ghana,Bags,Unisex,Leather,African Back-Pack,"An African print backpack is a vibrant and culturally-inspired accessory featuring traditional African textile patterns and designs. Typically made from durable materials, it combines style with functionality, making it perfect for both everyday use and as a unique fashion statement.",250.0,Black.white patches,Medium,1,"Ghana Bags Unisex Leather African Back-Pack An African print backpack is a vibrant and culturally-inspired accessory featuring traditional African textile patterns and designs. Typically made from durable materials, it combines style with functionality, making it perfect for both everyday use and as a unique fashion statement. 250.0 Black.white patches Medium 1"
4,41,Ghana,Bags,Unisex,Cotton,African Print Back-Pack,"An African print backpack is a vibrant and culturally inspired accessory featuring traditional African textile patterns and designs. Typically made from durable materials, it combines style with functionality, making it perfect for both everyday use and as a unique fashion statement.",200.0,Multi-color,Medium,1,"Ghana Bags Unisex Cotton African Print Back-Pack An African print backpack is a vibrant and culturally inspired accessory featuring traditional African textile patterns and designs. Typically made from durable materials, it combines style with functionality, making it perfect for both everyday use and as a unique fashion statement. 200.0 Multi-color Medium 1"
5,42,Ghana,Bags,Unisex,Cotton,African Hassle Bag,"An African hassle bag is a stylish and versatile accessory, typically crafted from traditional African textiles or materials. It features a convenient drawstring closure and ample space, making it ideal for carrying essentials while showcasing African culture through its distinctive design.",150.0,Orange,Medium,1,"Ghana Bags Unisex Cotton African Hassle Bag An African hassle bag is a stylish and versatile accessory, typically crafted from traditional African textiles or materials. It features a convenient drawstring closure and ample space, making it ideal for carrying essentials while showcasing African culture through its distinctive design. 150.0 Orange Medium 1"
6,43,Ghana,Bags,Female,Cotton,African Hassle Bag,"An African hassle bag is a stylish and versatile accessory, typically crafted from traditional African textiles or materials. It features a convenient drawstring closure and ample space, making it ideal for carrying essentials while showcasing African culture through its distinctive design.",150.0,Baige,Small,1,"Ghana Bags Female Cotton African Hassle Bag An African hassle bag is a stylish and versatile accessory, typically crafted from traditional African textiles or materials. It features a convenient drawstring closure and ample space, making it ideal for carrying essentials while showcasing African culture through its distinctive design. 150.0 Baige Small 1"
7,44,Ghana,Bags,Unisex,Cotton,African Print Hassle bag,"An African hassle bag is a stylish and versatile accessory, typically crafted from traditional African textiles or materials. It features a convenient drawstring closure and ample space, making it ideal for carrying essentials while showcasing African culture through its distinctive design.",130.0,"black,multi-colored",Small,1,"Ghana Bags Unisex Cotton African Print Hassle bag An African hassle bag is a stylish and versatile accessory, typically crafted from traditional African textiles or materials. It features a convenient drawstring closure and ample space, making it ideal for carrying essentials while showcasing African culture through its distinctive design. 130.0 black,multi-colored Small 1"
8,45,Ghana,Bags,Female,Cotton,African Hassle Bag,"An African hassle bag is a stylish and versatile accessory, typically crafted from traditional African textiles or materials. It features a convenient drawstring closure and ample space, making it ideal for carrying essentials while showcasing African culture through its distinctive design.",200.0,Brown,Medium,1,"Ghana Bags Female Cotton African Hassle Bag An African hassle bag is a stylish and versatile accessory, typically crafted from traditional African textiles or materials. It features a convenient drawstring closure and ample space, making it ideal for carrying essentials while showcasing African culture through its distinctive design. 200.0 Brown Medium 1"
9,49,Ghana,Bags,Female,Cotton,African Print handbag,"An African print bag is a vibrant and eye-catching accessory featuring traditional African textile prints and patterns. These bags are both fashionable and functional, offering a unique blend of cultural expression and practicality for carrying your essentials.",150.0,Multi-color,Medium,2,"Ghana Bags Female Cotton African Print handbag An African print bag is a vibrant and eye-catching accessory featuring traditional African textile prints and patterns. These bags are both fashionable and functional, offering a unique blend of cultural expression and practicality for carrying your essentials. 150.0 Multi-color Medium 2"
10,50,Ghana,Bags,Female,Leather,African Print handbag,"An African print bag is a vibrant and eye-catching accessory featuring traditional African textile prints and patterns. These bags are both fashionable and functional, offering a unique blend of cultural expression and practicality for carrying your essentials.",150.0,"Multi-color,Red",Medium,2,"Ghana Bags Female Leather African Print handbag An African print bag is a vibrant and eye-catching accessory featuring traditional African textile prints and patterns. These bags are both fashionable and functional, offering a unique blend of cultural expression and practicality for carrying your essentials. 150.0 Multi-color,Red Medium 2"
